"Date","Price","Open","High","Low","Vol.","Change %"
"11/24/2020","333.07","335.88","337.57","332.61","223.61M","0.27%"
"11/23/2020","332.18","334.56","335.64","331.71","199.23M","-0.09%"
"11/20/2020","332.47","334.17","334.46","331.12","169.16M","-0.46%"
"11/19/2020","334.01","332.00","334.41","329.25","178.07M","0.23%"
"11/18/2020","333.23","339.45","342.30","333.20","189.90M","-1.88%"
"11/17/2020","339.63","337.00","340.99","335.37","183.04M","0.01%"
"11/16/2020","339.61","342.10","343.68","335.88","231.74M","0.79%"
"11/13/2020","336.94","330.85","337.44","330.85","184.80M","2.41%"
"11/12/2020","329.00","331.92","332.60","326.76","178.35M","-1.12%"
"11/11/2020","332.73","332.25","334.13","329.43","197.78M","0.63%"
"11/10/2020","330.64","326.97","330.97","325.57","301.66M","1.20%"
"11/09/2020","326.73","331.29","348.19","326.13","395.75M","2.56%"
"11/06/2020","318.56","321.11","322.63","317.42","146.97M","-0.56%"
"11/05/2020","320.36","322.14","323.20","319.23","149.39M","0.38%"
"11/04/2020","319.16","318.63","324.08","316.82","167.35M","0.32%"
"11/03/2020","318.13","315.74","319.61","314.16","158.38M","1.84%"
"11/02/2020","312.39","308.13","312.39","306.45","172.86M","2.50%"
"10/30/2020","304.78","305.41","306.97","301.35","181.17M","-0.69%"
"10/29/2020","306.90","303.68","309.06","300.65","175.62M","1.51%"
"10/28/2020","302.34","305.15","307.96","301.74","205.80M","-2.48%"
"10/27/2020","310.02","314.93","316.46","310.02","129.85M","-1.46%"
"10/26/2020","314.60","316.23","316.35","311.77","148.11M","-1.27%"
"10/23/2020","318.66","318.14","319.64","316.30","109.47M","0.63%"
"10/22/2020","316.68","317.39","318.18","315.77","138.45M","-0.22%"
"10/21/2020","317.37","317.29","318.91","316.29","133.86M","-0.34%"
"10/20/2020","318.46","318.81","320.74","317.85","114.91M","0.72%"
"10/19/2020","316.17","322.73","322.89","315.95","139.87M","-1.61%"
"10/16/2020","321.33","322.82","323.65","321.03","118.13M","-0.66%"
"10/15/2020","323.48","319.94","325.87","319.72","116.31M","0.44%"
"10/14/2020","322.05","325.60","326.33","321.73","116.43M","-1.18%"
"10/13/2020","325.89","329.23","329.71","324.24","133.24M","-1.56%"
"10/12/2020","331.05","330.13","331.80","327.89","120.38M","0.53%"
"10/09/2020","329.31","332.52","332.71","328.33","119.52M","-0.42%"
"10/08/2020","330.71","327.01","331.62","326.83","146.92M","1.57%"
